E(l,N) & nk(l,N) & t(N,l): 
     38174: Number of levels
       477  6.355000        81      8872   0.00E+00
       478  6.391000        82      8954   0.00E+00
       479  6.413000        83      9037   0.00E+00
       480  6.444000        84      9121   0.00E+00
       481  6.458000        85      9206   0.00E+00
       482  6.481000        86      9292   0.00E+00
       483  6.509000        87      9379   0.00E+00
       484  6.519001        88      9467   0.00E+00
       485  6.578001        89      9556   0.00E+00
       486  6.627000         9      9565   1.47E-18
       487  6.642601         3      9568   5.70E-18
       488  6.647501         4      9572   2.87E-19
       489  6.693400        93      9665   3.31E-20
       490  6.766100        94      9759   7.60E-19
       491  6.825000        95      9854   0.00E+00
       492  6.856700        96      9950   4.56E-20
       493  6.905000        97     10047   0.00E+00
       494  6.936000        98     10145   0.00E+00
       495  6.967800        99     10244   9.13E-20
       496  7.067000       100     10344   1.90E-19
       497  7.080000       101     10445   1.90E-20
       498  7.166000       102     10547   5.70E-20
       499  7.232000       103     10650   0.00E+00
       500  7.283000       104     10754   0.00E+00
       501  7.319000       105     10859   1.38E-20
       502  7.370000       106     10965   2.40E-20
       503  7.420001       107     11072   4.56E-20
       504  0.000000         0     11072   4.16E+00
       505  0.279930         1     11073   6.10E-09
       506  1.100900         1     11074   3.00E-16
       507  1.730400         2     11076   5.00E-14
       508  1.754830         1     11077   2.40E-12
       509  2.039800         2     11079   3.50E-14
       510  2.071000         1     11080   5.50E-14
       511  2.410000         7     11087   0.00E+00
       512  3.459640         3     11090   7.00E-13
       513  3.517670         2     11092   7.00E-13
       514  3.638950         1     11093   0.00E+00
       515  3.966000         1     11094   0.00E+00
       516  3.996000        12     11106   0.00E+00
       517  4.064000        13     11119   0.00E+00
       518  4.172000        14     11133   0.00E+00
       519  4.451000        15     11148   0.00E+00
       520  4.572380         2     11150   0.00E+00
       521  4.584000         1     11151   0.00E+00
       522  4.669000        18     11169   0.00E+00
       523  4.924000        19     11188   0.00E+00
       524  5.029000        20     11208   0.00E+00
       525  5.079000        21     11229   0.00E+00
       526  5.350000        22     11251   0.00E+00
       527  5.486000        23     11274   0.00E+00
       528  5.566000        24     11298   0.00E+00
       529  5.592000        25     11323   0.00E+00
       530  0.000000         0     11323   4.23E+00
       531  0.071600         1     11324   0.00E+00
       532  0.310000         2     11326   0.00E+00
       533  0.709000         2     11328   0.00E+00
       534  1.420000         4     11332   0.00E+00
       535  1.627600         1     11333   0.00E+00
       536  2.015000         6     11339   0.00E+00
       537  2.572200         1     11340   0.00E+00
       538  0.000000         0     11340   1.67E+00
       539  1.887300         1     11341   4.60E-13
       540  3.376200         1     11342   3.00E-12
       541  3.576300         1     11343   3.00E-12
       542  3.616400         2     11345   4.40E-14
       543  4.519000         5     11350   2.28E-20
       544  4.561000         6     11356   0.00E+00
       545  4.590000         7     11363   2.28E-20
       546  5.090000         8     11371   1.14E-20
       547  5.146000         9     11380   1.83E-20
       548  5.453000        10     11390   9.13E-21
